,Symbol,Accuracy,Precision,Recall,ROC Score
461,INFIBEAM,0.94,0.9,0.85,0.91
462,MINDACORP,0.96,0.9,0.93,0.95
463,GSFC,0.97,0.96,0.9,0.94
464,GNFC,0.96,0.82,0.85,0.91
465,CERA,0.96,0.82,0.9,0.93
466,GRSE,0.95,0.9,0.92,0.94
467,RELINFRA,0.74,0.63,0.74,0.74
468,PRAJIND,0.98,0.91,1.0,0.99
469,GPPL,0.93,0.82,0.95,0.93
470,SBFC,0.89,0.55,0.44,0.7
471,RAJESHEXPO,0.92,0.65,0.93,0.93
472,CRAFTSMAN,0.87,0.69,0.81,0.85
473,GALAXYSURF,0.96,0.86,0.88,0.93
474,REDTAPE,0.32,0.28,1.0,0.54
475,SYRMA,0.91,0.77,0.71,0.83
476,MAHLIFE,0.95,0.76,1.0,0.97
477,PRSMJOHNSN,0.93,0.78,0.76,0.86
478,MASTEK,0.97,0.91,0.96,0.96
479,NEULANDLAB,0.94,0.86,0.97,0.95
480,CCL,0.95,0.75,0.92,0.94
481,METROPOLIS,0.93,0.76,0.81,0.88
482,TEGA,0.8,0.71,0.72,0.78
483,EASEMYTRIP,0.83,0.49,0.5,0.7
484,STARCEMENT,0.97,0.89,0.91,0.95
485,SAPPHIRE,0.91,0.72,0.66,0.81
486,PGHL,0.96,0.53,0.9,0.93
487,MAHSCOOTER,0.93,0.75,0.95,0.94
488,KTKBANK,0.98,0.93,0.93,0.96
489,GENUSPOWER,0.96,0.93,0.94,0.95
490,POWERMECH,0.95,0.89,0.93,0.94
491,GAEL,0.97,0.95,0.9,0.95
492,TECHNOE,0.48,0.38,0.42,0.47
493,RCF,0.96,0.95,0.91,0.94
494,EMIL,0.8,0.5,0.41,0.66
495,ESABINDIA,0.96,0.82,0.9,0.93
496,HOMEFIRST,0.88,0.72,0.78,0.85
497,JLHL,0.67,0.28,0.8,0.72
498,MHRIL,0.99,0.97,0.94,0.97
499,RESPONIND,0.96,0.84,0.91,0.94
500,MANINFRA,0.94,0.85,0.73,0.86
501,TVSSCS,0.89,1.0,0.08,0.54
502,SHOPERSTOP,0.96,0.88,0.86,0.92
503,NETWEB,0.77,0.64,0.9,0.8
504,SARDAEN,0.95,0.88,0.95,0.95
505,SANDUMA,0.73,1.0,0.14,0.57
506,THOMASCOOK,0.96,0.97,0.91,0.95
507,ARVIND,0.95,0.84,0.98,0.96
508,MIDHANI,0.96,0.87,0.98,0.96
509,VAIBHAVGBL,0.94,0.85,0.8,0.89
510,ACI,0.84,0.65,0.79,0.82
511,RELIGARE,0.93,0.82,0.86,0.9
512,KRBL,0.95,0.83,0.83,0.9
513,VARROC,0.94,0.8,0.95,0.95
514,SHRIPISTON,0.62,0.36,0.35,0.54
515,KNRCON,0.97,0.91,0.93,0.95
516,JUBLINGREA,0.84,0.76,0.75,0.82
517,MEDPLUS,0.96,0.75,0.83,0.9
518,VIPIND,0.98,0.93,0.9,0.95
519,RUSTOMJEE,0.76,0.49,0.79,0.77
520,SAREGAMA,0.97,0.95,0.95,0.96
521,BALRAMCHIN,0.97,0.89,0.98,0.97
522,PDSL,0.87,0.58,0.86,0.86
523,HMT,0.93,0.91,0.88,0.92
524,STAR,0.92,0.84,1.0,0.94
525,TMB,0.95,0.0,0.0,0.49
526,TEXRAIL,0.95,0.91,0.94,0.95
527,FDC,0.94,0.81,0.95,0.95
528,VOLTAMP,0.95,0.94,0.91,0.94
529,TRIVENI,0.96,0.86,0.95,0.96
530,MARKSANS,0.97,0.92,1.0,0.97
531,VESUVIUS,0.97,0.86,0.97,0.97
532,CAMPUS,0.86,0.59,0.69,0.79
533,QUESS,0.92,0.85,0.88,0.91
534,INDIACEM,0.96,0.91,0.89,0.93
535,JUSTDIAL,0.93,0.8,0.98,0.95
536,IWEL,0.87,0.84,0.88,0.87
537,BALAMINES,0.97,0.87,0.94,0.96
538,SOUTHBANK,0.97,0.87,0.94,0.96
539,KIRLOSBROS,0.95,0.88,0.99,0.96
540,INDIGOPNTS,0.82,0.14,0.24,0.55
541,CHEMPLASTS,0.89,0.63,0.73,0.82
542,LXCHEM,0.86,0.63,0.66,0.78
543,IONEXCHANG,0.84,0.58,0.67,0.77
544,NAVA,0.84,0.71,0.81,0.83
545,BORORENEW,0.97,0.83,1.0,0.98
