,Symbol,Accuracy,Precision,Recall,ROC Score
646,SULA,0.9,0.69,0.72,0.83
647,WONDERLA,0.98,0.91,1.0,0.99
648,BANCOINDIA,0.93,0.89,0.89,0.92
649,ASHOKA,0.92,0.88,0.95,0.92
650,HEIDELBERG,0.97,0.84,1.0,0.98
651,AARTIDRUGS,0.95,0.85,0.91,0.93
652,TIMETECHNO,0.92,0.93,0.82,0.9
653,GHCL,0.94,0.82,0.94,0.94
654,WELENT,0.95,0.91,0.98,0.96
655,DHANUKA,0.97,0.96,0.99,0.97
656,GRWRHITECH,0.8,0.81,0.65,0.77
657,JKIL,0.93,0.85,1.0,0.94
658,RALLIS,0.93,0.78,0.94,0.93
659,PRIVISCL,0.93,0.87,0.92,0.93
660,GENSOL,0.71,0.6,0.87,0.74
661,IIFLSEC,0.97,0.94,1.0,0.97
662,PGEL,0.93,0.86,1.0,0.93
663,SANGHVIMOV,0.93,0.83,0.9,0.92
664,TARC,0.83,0.83,0.78,0.82
665,BAJAJHIND,0.97,0.92,1.0,0.98
666,AARTIPHARM,0.82,0.65,0.82,0.82
667,TIIL,0.87,0.79,0.82,0.86
668,NOCIL,0.95,0.9,0.9,0.93
669,IPL,0.85,0.68,0.85,0.85
670,DYNAMATECH,0.93,0.86,0.97,0.93
671,TCIEXP,0.97,0.87,0.96,0.97
672,ADVENZYMES,0.95,0.86,0.94,0.95
673,JAMNAAUTO,0.95,0.84,0.94,0.94
674,KKCL,0.96,0.78,0.95,0.95
675,BBOX,0.87,0.83,0.83,0.86
676,TRIL,0.91,0.95,0.89,0.92
677,TI,0.97,0.91,1.0,0.98
678,BOROLTD,0.97,0.88,1.0,0.98
679,FCL,0.44,0.29,0.37,0.43
680,SHARDAMOTR,0.73,0.71,0.7,0.73
681,WABAG,0.93,0.9,0.94,0.93
682,BALMLAWRIE,0.95,0.95,0.95,0.95
683,GULFOILLUB,0.95,0.89,1.0,0.95
684,GREENPANEL,0.96,0.93,0.88,0.93
685,KIRLPNU,0.7,0.61,0.88,0.72
686,HATHWAY,0.93,0.87,0.94,0.94
687,HGS,0.97,0.89,0.96,0.97
688,TDPOWERSYS,0.96,0.94,0.97,0.96
689,JTLIND,0.93,0.83,0.98,0.95
690,RAMKY,0.97,0.94,0.96,0.97
691,DCBBANK,0.95,0.91,0.93,0.95
692,WSTCSTPAPR,0.93,0.85,0.87,0.91
693,EPIGRAL,0.65,1.0,0.09,0.54
694,ORISSAMINE,0.93,0.79,0.97,0.94
695,SAMHI,0.24,0.21,1.0,0.52
696,ROSSARI,0.98,0.92,0.96,0.97
697,KIRLOSIND,0.96,0.92,0.98,0.96
698,YATHARTH,0.89,0.67,0.91,0.89
699,ORIENTELEC,0.91,0.82,0.89,0.9
700,AMIORG,0.81,0.57,0.59,0.73
701,SUBROS,0.94,0.91,0.93,0.94
702,SSWL,0.97,0.81,0.94,0.96
703,JISLJALEQS,0.99,0.98,0.98,0.98
704,UNITECH,0.93,0.84,0.98,0.94
705,SHANTIGEAR,0.98,0.96,0.98,0.98
706,MAXESTATES,0.7,0.62,0.85,0.72
